n_0,n_1,n_2,n_3,target
64,60,62,60,64
60,62,60,64,65
62,60,64,65,64
60,64,65,64,62
64,65,64,62,60
65,64,62,60,64
64,62,60,64,65
62,60,64,65,67
60,64,65,67,65
64,65,67,65,69
65,67,65,69,72
67,65,69,72,71
65,69,72,71,67
69,72,71,67,71
72,71,67,71,69
71,67,71,69,67
67,71,69,67,65
71,69,67,65,67
69,67,65,67,65
67,65,67,65,62
65,67,65,62,64
67,65,62,64,65
65,62,64,65,69
62,64,65,69,67
64,65,69,67,64
65,69,67,64,65
69,67,64,65,69
67,64,65,69,71
64,65,69,71,72
65,69,71,72,74
69,71,72,74,72
71,72,74,72,76
72,74,72,76,74
74,72,76,74,76
72,76,74,76,79
59,60,64,60,62
60,64,60,62,66
64,60,62,66,62
60,62,66,62,60
62,66,62,60,64
66,62,60,64,60
62,60,64,60,62
60,64,60,62,60
64,60,62,60,59
60,62,60,59,57
62,60,59,57,59
60,59,57,59,57
59,57,59,57,59
57,59,57,59,57
59,57,59,57,60
57,59,57,60,59
59,57,60,59,60
57,60,59,60,64
60,59,60,64,66
59,60,64,66,64
60,64,66,64,67
64,66,64,67,66
66,64,67,66,67
64,67,66,67,71
67,66,67,71,72
66,67,71,72,76
67,71,72,76,72
71,72,76,72,69
72,76,72,69,71
76,72,69,71,69
72,69,71,69,72
69,71,69,72,71
71,69,72,71,69
69,72,71,69,67
72,71,69,67,66
71,69,67,66,69
69,67,66,69,71
67,66,69,71,72
66,69,71,72,76
69,71,72,76,79
71,72,76,79,79
72,76,79,79,79
76,79,79,79,76
79,79,79,76,78
79,79,76,78,79
79,76,78,79,79
76,78,79,79,79
78,79,79,79,79
79,79,79,79,79
79,79,79,79,76
79,79,79,76,74
79,79,76,74,76
79,76,74,76,72
76,74,76,72,71
74,76,72,71,74
76,72,71,74,72
72,71,74,72,74
71,74,72,74,76
74,72,74,76,78
72,74,76,78,79
74,76,78,79,79
76,78,79,79,76
78,79,79,76,72
79,79,76,72,74
79,76,72,74,72
76,72,74,72,71
72,74,72,71,72
74,72,71,72,69
72,71,72,69,71
71,72,69,71,69
72,69,71,69,71
69,71,69,71,74
71,69,71,74,71
69,71,74,71,74
71,74,71,74,72
74,71,74,72,69
77,79,77,74,72
79,77,74,72,69
77,74,72,69,72
74,72,69,72,69
72,69,72,69,72
69,72,69,72,74
72,69,72,74,76
69,72,74,76,72
72,74,76,72,71
74,76,72,71,67
76,72,71,67,69
72,71,67,69,72
71,67,69,72,71
67,69,72,71,69
69,72,71,69,67
72,71,69,67,71
71,69,67,71,69
69,67,71,69,65
67,71,69,65,67
71,69,65,67,69
69,65,67,69,72
65,67,69,72,69
67,69,72,69,65
69,72,69,65,64
72,69,65,64,65
69,65,64,65,62
65,64,65,62,60
64,65,62,60,60
65,62,60,60,64
62,60,60,64,65
60,60,64,65,69
60,64,65,69,72
64,65,69,72,71
65,69,72,71,67
69,72,71,67,65
72,71,67,65,64
71,67,65,64,60
67,65,64,60,60
65,64,60,60,60
64,60,60,60,60
60,60,60,60,64
60,60,60,64,62
60,60,64,62,64
60,64,62,64,62
64,62,64,62,60
62,64,62,60,62
64,62,60,62,60
62,60,62,60,64
60,62,60,64,67
62,60,64,67,69
60,64,67,69,72
64,67,69,72,74
67,69,72,74,77
69,72,74,77,81
72,74,77,81,83
74,77,81,83,84
77,81,83,84,84
81,83,84,84,83
83,84,84,83,84
84,84,83,84,83
84,83,84,83,81
83,84,83,81,83
84,83,81,83,84
83,81,83,84,83
81,83,84,83,79
83,84,83,79,77
84,83,79,77,76
83,79,77,76,74
79,77,76,74,72
77,76,74,72,71
76,74,72,71,69
74,72,71,69,72
72,71,69,72,69
71,69,72,69,67
69,72,69,67,69
72,69,67,69,65
67,65,64,65,64
65,64,65,64,62
64,65,64,62,64
65,64,62,64,65
64,62,64,65,64
62,64,65,64,62
64,65,64,62,60
65,64,62,60,62
64,62,60,62,65
62,60,62,65,64
60,62,65,64,60
62,65,64,60,60
65,64,60,60,60
64,60,60,60,62
60,60,60,62,65
60,60,62,65,62
60,62,65,62,60
62,65,62,60,62
65,62,60,62,60
62,60,62,60,60
60,62,60,60,62
62,60,60,62,60
60,60,62,60,60
60,62,60,60,62
62,60,60,62,64
60,60,62,64,65
60,62,64,65,64
62,64,65,64,62
64,65,64,62,60
65,64,62,60,62
64,62,60,62,60
62,60,62,60,64
60,62,60,64,65
62,60,64,65,67
60,64,65,67,64
64,65,67,64,62
65,67,64,62,60
67,64,62,60,64
64,62,60,64,67
62,60,64,67,65
60,64,67,65,64
64,67,65,64,67
67,65,64,67,69
65,64,67,69,71
64,67,69,71,74
67,69,71,74,71
69,71,74,71,67
71,74,71,67,64
74,71,67,64,62
71,67,64,62,65
67,64,62,65,64
64,62,65,64,60
62,65,64,60,62
65,64,60,62,60
64,60,62,60,60
60,62,60,60,62
62,60,60,62,64
60,60,62,64,65
60,62,64,65,64
62,64,65,64,65
64,65,64,65,67
65,64,65,67,69
64,65,67,69,72
65,67,69,72,76
67,69,72,76,74
69,72,76,74,76
72,76,74,76,72
76,74,76,72,71
74,76,72,71,69
76,72,71,69,67
72,71,69,67,69
71,69,67,69,67
69,67,69,67,69
67,69,67,69,67
69,67,69,67,65
67,69,67,65,62
83,84,81,83,84
84,81,83,84,84
81,83,84,84,83
83,84,84,83,79
84,84,83,79,81
84,83,79,81,83
83,79,81,83,81
79,81,83,81,79
81,83,81,79,83
83,81,79,83,79
81,79,83,79,77
79,83,79,77,79
83,79,77,79,77
79,77,79,77,74
77,79,77,74,72
79,77,74,72,74
77,74,72,74,76
74,72,74,76,74
72,74,76,74,76
74,76,74,76,74
76,74,76,74,71
74,76,74,71,72
76,74,71,72,74
74,71,72,74,72
71,72,74,72,74
72,74,72,74,76
74,72,74,76,79
72,74,76,79,83
74,76,79,83,84
76,79,83,84,84
79,83,84,84,84
83,84,84,84,84
84,84,84,84,83
84,84,84,83,84
84,84,83,84,84
84,83,84,84,84
83,84,84,84,84
84,84,84,84,83
84,84,84,83,84
84,84,83,84,84
84,83,84,84,83
83,84,84,83,79
84,84,83,79,77
84,83,79,77,81
83,79,77,81,84
79,77,81,84,83
77,81,84,83,81
81,84,83,81,77
84,83,81,77,79
83,81,77,79,77
81,77,79,77,76
77,79,77,76,77
79,77,76,77,76
77,76,77,76,77
76,77,76,77,79
77,76,77,79,77
76,77,79,77,81
77,79,77,81,84
79,77,81,84,84
77,81,84,84,81
81,84,84,81,77
84,84,81,77,79
84,81,77,79,76
81,77,79,76,72
77,79,76,72,71
79,76,72,71,69
76,72,71,69,65
72,71,69,65,64
71,69,65,64,60
69,65,64,60,62
65,64,60,62,60
64,60,62,60,60
60,62,60,60,60
62,60,60,60,64
60,60,60,64,65
60,60,64,65,64
67,68,70,67,68
68,70,67,68,65
70,67,68,65,68
67,68,65,68,70
68,65,68,70,72
65,68,70,72,68
68,70,72,68,72
70,72,68,72,73
72,68,72,73,72
68,72,73,72,70
72,73,72,70,72
73,72,70,72,73
72,70,72,73,75
70,72,73,75,77
72,73,75,77,79
73,75,77,79,80
75,77,79,80,80
77,79,80,80,79
79,80,80,79,75
80,80,79,75,79
80,79,75,79,75
79,75,79,75,79
75,79,75,79,77
79,75,79,77,75
75,79,77,75,77
79,77,75,77,79
77,75,77,79,77
75,77,79,77,75
77,79,77,75,72
79,77,75,72,73
77,75,72,73,72
75,72,73,72,70
72,73,72,70,72
73,72,70,72,73
72,70,72,73,75
70,72,73,75,72
72,73,75,72,70
73,75,72,70,73
75,72,70,73,72
72,70,73,72,70
70,73,72,70,68
73,72,70,68,72
72,70,68,72,70
70,68,72,70,67
68,72,70,67,63
72,70,67,63,65
70,67,63,65,67
67,63,65,67,65
63,65,67,65,67
65,67,65,67,68
67,65,67,68,72
65,67,68,72,68
67,68,72,68,72
68,72,68,72,75
72,68,72,75,73
68,72,75,73,72
72,75,73,72,73
75,73,72,73,70
73,72,73,70,72
72,73,70,72,73
73,70,72,73,75
70,72,73,75,77
72,73,75,77,73
73,75,77,73,70
75,77,73,70,72
77,73,70,72,70
73,70,72,70,67
70,72,70,67,63
72,70,67,63,65
70,67,63,65,67
67,63,65,67,65
63,65,67,65,68
65,67,65,68,67
67,65,68,67,63
65,68,67,63,67
68,67,63,67,68
72,70,72,74,70
70,72,74,70,67
72,74,70,67,68
74,70,67,68,72
70,67,68,72,74
67,68,72,74,75
68,72,74,75,79
72,74,75,79,77
74,75,79,77,80
75,79,77,80,77
79,77,80,77,80
77,80,77,80,84
80,77,80,84,86
77,80,84,86,84
80,84,86,84,82
84,86,84,82,84
86,84,82,84,82
84,82,84,82,86
82,84,82,86,87
84,82,86,87,84
82,86,87,84,86
86,87,84,86,84
87,84,86,84,80
84,86,84,80,82
86,84,80,82,84
84,80,82,84,82
80,82,84,82,80
82,84,82,80,82
84,82,80,82,80
82,80,82,80,84
80,82,80,84,80
82,80,84,80,77
80,84,80,77,74
84,80,77,74,75
80,77,74,75,74
77,74,75,74,70
74,75,74,70,72
75,74,70,72,75
74,70,72,75,77
70,72,75,77,79
72,75,77,79,77
75,77,79,77,75
77,79,77,75,72
79,77,75,72,75
77,75,72,75,77
75,72,75,77,80
72,75,77,80,82
75,77,80,82,84
77,80,82,84,86
80,82,84,86,84
82,84,86,84,80
84,86,84,80,79
86,84,80,79,80
84,80,79,80,82
80,79,80,82,84
79,80,82,84,80
80,82,84,80,77
82,84,80,77,79
84,80,77,79,75
80,77,79,75,72
77,79,75,72,74
79,75,72,74,72
75,72,74,72,75
72,74,72,75,72
74,72,75,72,74
72,75,72,74,75
75,72,74,75,79
72,74,75,79,80
74,75,79,80,77
75,79,80,77,79
79,80,77,79,77
80,77,79,77,80
77,79,77,80,79
79,77,80,79,75
77,80,79,75,74
80,79,75,74,70
69,72,69,67,65
72,69,67,65,64
69,67,65,64,60
67,65,64,60,60
65,64,60,60,60
64,60,60,60,60
60,60,60,60,62
60,60,60,62,60
60,60,62,60,60
60,62,60,60,60
62,60,60,60,60
60,60,60,60,64
60,60,60,64,67
60,60,64,67,71
60,64,67,71,67
64,67,71,67,71
67,71,67,71,67
71,67,71,67,65
67,71,67,65,64
71,67,65,64,67
67,65,64,67,64
65,64,67,64,65
64,67,64,65,64
67,64,65,64,62
64,65,64,62,60
65,64,62,60,62
64,62,60,62,60
62,60,62,60,62
60,62,60,62,60
62,60,62,60,64
60,62,60,64,62
62,60,64,62,60
60,64,62,60,60
64,62,60,60,60
62,60,60,60,60
60,60,60,60,60
60,60,60,60,62
60,60,60,62,60
60,60,62,60,60
60,62,60,60,62
62,60,60,62,65
60,60,62,65,64
60,62,65,64,62
62,65,64,62,64
65,64,62,64,60
64,62,64,60,60
62,64,60,60,62
64,60,60,62,64
60,60,62,64,62
60,62,64,62,60
62,64,62,60,62
64,62,60,62,60
62,60,62,60,60
60,62,60,60,60
62,60,60,60,60
60,60,60,60,62
60,60,60,62,60
60,60,62,60,60
60,62,60,60,60
62,60,60,60,60
60,60,60,60,60
60,60,60,60,62
60,60,60,62,65
60,60,62,65,62
60,62,65,62,60
62,65,62,60,62
65,62,60,62,60
62,60,62,60,62
60,62,60,62,60
62,60,62,60,64
60,62,60,64,60
62,60,64,60,60
60,64,60,60,62
64,60,60,62,60
60,60,62,60,62
60,62,60,62,64
84,83,84,84,83
83,84,84,83,84
84,84,83,84,83
84,83,84,83,79
83,84,83,79,77
84,83,79,77,79
83,79,77,79,83
79,77,79,83,81
77,79,83,81,84
79,83,81,84,84
83,81,84,84,81
81,84,84,81,83
84,84,81,83,84
84,81,83,84,81
81,83,84,81,83
83,84,81,83,84
84,81,83,84,83
81,83,84,83,84
83,84,83,84,83
84,83,84,83,81
83,84,83,81,79
84,83,81,79,81
83,81,79,81,77
81,79,81,77,76
79,81,77,76,72
81,77,76,72,71
77,76,72,71,67
76,72,71,67,69
72,71,67,69,71
71,67,69,71,74
67,69,71,74,72
69,71,74,72,76
71,74,72,76,77
74,72,76,77,79
72,76,77,79,77
76,77,79,77,79
77,79,77,79,81
79,77,79,81,79
77,79,81,79,77
79,81,79,77,79
81,79,77,79,77
79,77,79,77,79
77,79,77,79,77
79,77,79,77,76
77,79,77,76,77
79,77,76,77,81
77,76,77,81,84
76,77,81,84,81
77,81,84,81,83
81,84,81,83,81
84,81,83,81,79
81,83,81,79,76
83,81,79,76,79
81,79,76,79,81
79,76,79,81,83
76,79,81,83,84
79,81,83,84,81
81,83,84,81,79
83,84,81,79,77
84,81,79,77,74
81,79,77,74,77
79,77,74,77,76
77,74,77,76,77
74,77,76,77,79
77,76,77,79,77
76,77,79,77,79
77,79,77,79,83
79,77,79,83,84
77,79,83,84,81
79,83,84,81,84
83,84,81,84,84
84,81,84,84,83
81,84,84,83,84
84,84,83,84,84
84,83,84,84,83
83,84,84,83,84
62,60,64,60,60
60,64,60,60,60
64,60,60,60,62
60,60,60,62,64
60,60,62,64,65
60,62,64,65,69
62,64,65,69,71
64,65,69,71,72
65,69,71,72,69
69,71,72,69,72
71,72,69,72,71
72,69,72,71,69
69,72,71,69,67
72,71,69,67,71
71,69,67,71,69
69,67,71,69,71
67,71,69,71,67
71,69,71,67,64
69,71,67,64,60
71,67,64,60,60
67,64,60,60,60
64,60,60,60,62
60,60,60,62,60
60,60,62,60,60
60,62,60,60,62
62,60,60,62,60
60,60,62,60,60
60,62,60,60,60
62,60,60,60,62
60,60,60,62,60
60,60,62,60,60
60,62,60,60,62
62,60,60,62,60
60,60,62,60,62
60,62,60,62,64
62,60,62,64,67
60,62,64,67,65
62,64,67,65,67
64,67,65,67,64
67,65,67,64,65
65,67,64,65,69
67,64,65,69,71
64,65,69,71,72
65,69,71,72,76
69,71,72,76,74
71,72,76,74,72
72,76,74,72,74
76,74,72,74,72
74,72,74,72,74
72,74,72,74,77
74,72,74,77,76
72,74,77,76,74
74,77,76,74,71
77,76,74,71,74
76,74,71,74,71
74,71,74,71,72
71,74,71,72,74
74,71,72,74,76
71,72,74,76,77
72,74,76,77,76
74,76,77,76,77
76,77,76,77,81
77,76,77,81,79
76,77,81,79,77
77,81,79,77,81
81,79,77,81,83
79,77,81,83,84
77,81,83,84,84
81,83,84,84,83
83,84,84,83,84
84,84,83,84,84
84,83,84,84,84
83,84,84,84,84
84,84,84,84,83
84,84,84,83,84
84,84,83,84,84
77,76,74,77,79
76,74,77,79,76
74,77,79,76,77
77,79,76,77,76
79,76,77,76,72
76,77,76,72,70
77,76,72,70,72
76,72,70,72,74
72,70,72,74,70
70,72,74,70,72
72,74,70,72,69
74,70,72,69,72
70,72,69,72,69
72,69,72,69,72
69,72,69,72,76
72,69,72,76,79
69,72,76,79,81
72,76,79,81,77
76,79,81,77,76
79,81,77,76,72
81,77,76,72,69
77,76,72,69,70
76,72,69,70,67
72,69,70,67,65
69,70,67,65,69
70,67,65,69,72
67,65,69,72,70
65,69,72,70,74
69,72,70,74,72
72,70,74,72,70
70,74,72,70,72
74,72,70,72,70
72,70,72,70,69
70,72,70,69,65
72,70,69,65,67
70,69,65,67,69
69,65,67,69,72
65,67,69,72,70
67,69,72,70,72
69,72,70,72,70
72,70,72,70,69
70,72,70,69,70
72,70,69,70,74
70,69,70,74,77
69,70,74,77,79
70,74,77,79,77
74,77,79,77,79
77,79,77,79,82
79,77,79,82,81
77,79,82,81,82
79,82,81,82,81
82,81,82,81,79
81,82,81,79,77
82,81,79,77,76
81,79,77,76,77
79,77,76,77,76
77,76,77,76,77
76,77,76,77,79
77,76,77,79,81
76,77,79,81,82
77,79,81,82,86
79,81,82,86,84
81,82,86,84,82
82,86,84,82,84
86,84,82,84,82
84,82,84,82,84
82,84,82,84,88
84,82,84,88,84
82,84,88,84,86
84,88,84,86,82
88,84,86,82,81
84,86,82,81,84
86,82,81,84,81
82,81,84,81,79
81,84,81,79,77
84,81,79,77,74
77,81,79,77,79
81,79,77,79,77
79,77,79,77,79
77,79,77,79,76
79,77,79,76,79
77,79,76,79,81
79,76,79,81,79
76,79,81,79,77
79,81,79,77,79
81,79,77,79,81
79,77,79,81,77
77,79,81,77,81
79,81,77,81,84
81,77,81,84,84
77,81,84,84,84
81,84,84,84,84
84,84,84,84,84
84,84,84,84,84
84,84,84,84,84
84,84,84,84,84
84,84,84,84,84
84,84,84,84,84
84,84,84,84,83
84,84,84,83,84
84,84,83,84,84
84,83,84,84,83
83,84,84,83,81
84,84,83,81,79
84,83,81,79,76
83,81,79,76,72
81,79,76,72,69
79,76,72,69,67
76,72,69,67,65
72,69,67,65,62
69,67,65,62,60
67,65,62,60,64
65,62,60,64,60
62,60,64,60,60
60,64,60,60,60
64,60,60,60,62
60,60,60,62,65
60,60,62,65,64
60,62,65,64,65
62,65,64,65,67
65,64,65,67,69
64,65,67,69,67
65,67,69,67,69
67,69,67,69,67
69,67,69,67,65
67,69,67,65,67
69,67,65,67,64
67,65,67,64,65
65,67,64,65,62
67,64,65,62,60
64,65,62,60,60
65,62,60,60,62
62,60,60,62,64
60,60,62,64,62
60,62,64,62,60
62,64,62,60,60
64,62,60,60,62
62,60,60,62,60
60,60,62,60,60
60,62,60,60,60
62,60,60,60,60
60,60,60,60,60
60,60,60,60,62
60,60,60,62,60
60,60,62,60,60
60,62,60,60,60
62,60,60,60,60
60,60,60,60,64
60,60,60,64,67
60,60,64,67,71
60,64,67,71,69
64,67,71,69,67
88,89,88,89,88
89,88,89,88,89
88,89,88,89,88
89,88,89,88,84
88,89,88,84,82
89,88,84,82,84
88,84,82,84,81
84,82,84,81,77
82,84,81,77,79
84,81,77,79,81
81,77,79,81,84
77,79,81,84,86
79,81,84,86,82
81,84,86,82,84
84,86,82,84,86
86,82,84,86,88
82,84,86,88,89
84,86,88,89,86
86,88,89,86,82
88,89,86,82,79
89,86,82,79,77
86,82,79,77,74
82,79,77,74,72
79,77,74,72,74
77,74,72,74,72
74,72,74,72,74
72,74,72,74,76
74,72,74,76,72
72,74,76,72,74
74,76,72,74,76
76,72,74,76,77
72,74,76,77,74
74,76,77,74,72
76,77,74,72,70
77,74,72,70,72
74,72,70,72,70
72,70,72,70,69
70,72,70,69,67
72,70,69,67,65
70,69,67,65,65
69,67,65,65,67
67,65,65,67,65
65,65,67,65,67
65,67,65,67,65
67,65,67,65,67
65,67,65,67,69
67,65,67,69,67
65,67,69,67,70
67,69,67,70,69
69,67,70,69,70
67,70,69,70,72
70,69,70,72,74
69,70,72,74,76
70,72,74,76,77
72,74,76,77,81
74,76,77,81,79
76,77,81,79,77
77,81,79,77,76
81,79,77,76,72
79,77,76,72,69
77,76,72,69,70
76,72,69,70,74
72,69,70,74,70
69,70,74,70,69
70,74,70,69,72
74,70,69,72,74
70,69,72,74,72
69,72,74,72,70
72,74,72,70,69
74,72,70,69,72
72,70,69,72,76
70,69,72,76,72
69,72,76,72,76
72,76,72,76,77
76,72,76,77,79
72,76,77,79,81
63,65,68,66,63
65,68,66,63,66
68,66,63,66,68
66,63,66,68,66
63,66,68,66,65
66,68,66,65,68
68,66,65,68,72
66,65,68,72,75
65,68,72,75,77
68,72,75,77,80
72,75,77,80,78
75,77,80,78,77
77,80,78,77,80
80,78,77,80,78
78,77,80,78,75
77,80,78,75,77
80,78,75,77,75
78,75,77,75,78
75,77,75,78,77
77,75,78,77,75
75,78,77,75,73
78,77,75,73,77
77,75,73,77,78
75,73,77,78,77
73,77,78,77,78
77,78,77,78,77
78,77,78,77,75
77,78,77,75,72
78,77,75,72,73
77,75,72,73,75
75,72,73,75,73
72,73,75,73,72
73,75,73,72,73
75,73,72,73,77
73,72,73,77,73
72,73,77,73,72
73,77,73,72,73
77,73,72,73,72
73,72,73,72,70
72,73,72,70,72
73,72,70,72,68
72,70,72,68,66
70,72,68,66,65
72,68,66,65,66
68,66,65,66,68
66,65,66,68,72
65,66,68,72,70
66,68,72,70,68
68,72,70,68,72
72,70,68,72,70
70,68,72,70,68
68,72,70,68,70
72,70,68,70,68
70,68,70,68,70
68,70,68,70,72
70,68,70,72,70
68,70,72,70,73
70,72,70,73,75
72,70,73,75,72
70,73,75,72,73
73,75,72,73,70
75,72,73,70,72
72,73,70,72,73
73,70,72,73,72
70,72,73,72,73
72,73,72,73,75
73,72,73,75,73
72,73,75,73,70
73,75,73,70,68
75,73,70,68,70
73,70,68,70,73
70,68,70,73,72
68,70,73,72,75
70,73,72,75,77
73,72,75,77,80
72,75,77,80,82
69,72,69,67,65
72,69,67,65,67
69,67,65,67,69
67,65,67,69,72
65,67,69,72,71
67,69,72,71,69
69,72,71,69,67
72,71,69,67,69
71,69,67,69,65
69,67,69,65,64
67,69,65,64,60
69,65,64,60,60
65,64,60,60,64
64,60,60,64,67
60,60,64,67,65
60,64,67,65,64
64,67,65,64,65
67,65,64,65,69
65,64,65,69,72
64,65,69,72,76
65,69,72,76,79
69,72,76,79,77
72,76,79,77,76
76,79,77,76,74
79,77,76,74,77
77,76,74,77,76
76,74,77,76,74
74,77,76,74,71
77,76,74,71,69
76,74,71,69,71
74,71,69,71,72
71,69,71,72,69
69,71,72,69,72
71,72,69,72,76
72,69,72,76,74
69,72,76,74,72
72,76,74,72,69
76,74,72,69,71
74,72,69,71,74
72,69,71,74,71
69,71,74,71,67
71,74,71,67,65
74,71,67,65,62
71,67,65,62,60
67,65,62,60,60
65,62,60,60,64
62,60,60,64,62
60,60,64,62,60
60,64,62,60,60
64,62,60,60,60
62,60,60,60,64
60,60,60,64,65
60,60,64,65,64
60,64,65,64,62
64,65,64,62,64
65,64,62,64,65
64,62,64,65,64
62,64,65,64,62
64,65,64,62,60
65,64,62,60,60
64,62,60,60,64
62,60,60,64,62
60,60,64,62,65
60,64,62,65,69
64,62,65,69,71
62,65,69,71,72
65,69,71,72,69
69,71,72,69,71
71,72,69,71,69
72,69,71,69,71
69,71,69,71,72
71,69,71,72,76
69,71,72,76,79
71,72,76,79,83
72,76,79,83,84
76,79,83,84,81
89,86,88,89,88
86,88,89,88,84
88,89,88,84,86
89,88,84,86,84
88,84,86,84,86
84,86,84,86,89
86,84,86,89,89
84,86,89,89,89
86,89,89,89,89
89,89,89,89,88
89,89,89,88,84
89,89,88,84,82
89,88,84,82,81
88,84,82,81,79
84,82,81,79,77
82,81,79,77,74
81,79,77,74,72
79,77,74,72,76
77,74,72,76,79
74,72,76,79,81
72,76,79,81,79
76,79,81,79,82
79,81,79,82,79
81,79,82,79,81
79,82,79,81,82
82,79,81,82,79
79,81,82,79,81
81,82,79,81,84
82,79,81,84,86
79,81,84,86,89
81,84,86,89,88
84,86,89,88,89
86,89,88,89,89
89,88,89,89,86
88,89,89,86,84
89,89,86,84,82
89,86,84,82,86
86,84,82,86,89
84,82,86,89,89
82,86,89,89,86
86,89,89,86,89
89,89,86,89,86
89,86,89,86,88
86,89,86,88,84
89,86,88,84,82
86,88,84,82,81
88,84,82,81,84
84,82,81,84,82
82,81,84,82,84
81,84,82,84,82
84,82,84,82,84
82,84,82,84,82
84,82,84,82,81
82,84,82,81,84
84,82,81,84,86
82,81,84,86,84
81,84,86,84,82
84,86,84,82,84
86,84,82,84,86
84,82,84,86,82
82,84,86,82,81
84,86,82,81,82
86,82,81,82,81
82,81,82,81,82
81,82,81,82,84
82,81,82,84,81
81,82,84,81,82
82,84,81,82,84
84,81,82,84,86
81,82,84,86,84
82,84,86,84,88
84,86,84,88,84
86,84,88,84,86
84,88,84,86,88
88,84,86,88,89
84,86,88,89,86
69,71,67,64,62
71,67,64,62,65
67,64,62,65,62
64,62,65,62,60
62,65,62,60,64
65,62,60,64,67
62,60,64,67,69
60,64,67,69,72
64,67,69,72,71
67,69,72,71,74
69,72,71,74,72
72,71,74,72,74
71,74,72,74,76
74,72,74,76,74
72,74,76,74,76
74,76,74,76,74
76,74,76,74,72
74,76,74,72,69
76,74,72,69,71
74,72,69,71,69
72,69,71,69,67
69,71,69,67,69
71,69,67,69,72
69,67,69,72,76
67,69,72,76,77
69,72,76,77,81
72,76,77,81,79
76,77,81,79,77
